rsv;r;r_base;r_diff;s;s_base;s_diff;time
0,9503462567120549;-5,8759;-5,7889;-0,08699999999999974;210,7714;222,1778;11,40639999999999;783,8144927024841
0,938926458253612;-2,2145;-2,377;0,16249999999999964;203,6486;216,8767;13,228100000000012;806,2069749832153
0,9573857344656438;-3,0455;-4,8012;1,7556999999999996;208,3446;215,9981;7,65349999999998;830,9537577629089
0,9573823856336523;-4,1883;-5,2202;1,0319000000000003;208,0381;216,4534;8,415300000000002;853,905030965805
0,9516417975762096;-6,8646;-4,6906;-2,1740000000000004;201,9022;214,6848;12,782600000000002;830,238201379776
0,9511073945217763;-10,4115;-10,9857;0,5741999999999994;222,0673;233,4439;11,376600000000025;767,6648335456848
0,9338507866689222;-3,673;-4,8428;1,1698000000000004;203,3267;216,8197;13,493000000000023;829,2235038280487
0,9453300763758946;-3,9334;-2,441;-1,4924;203,8078;217,3142;13,506400000000014;804,6856350898743
0,9576697566278434;-0,9521;-2,3954;1,4433;208,5395;216,356;7,816499999999991;801,0649135112762
0,9314100482753946;-2,1167;-5,2661;3,1494;206,7181;218,9475;12,229399999999998;764,7477355003357
